Model,AIC,BIC,LLF,PseudoR2,Dispersion,RMSE,MAE,R2,CV_RMSE,CV_MAE,CV_R2,Rank
Gaussian_Log,-627.1193110426576,-368.980257020482,321.5596555213288,0.9988271662394639,5.0438373167307175e-05,0.00677900894077461,0.0019939137634190367,0.9988271662394639,0.008291845476558483,0.0028598492625730248,0.9962295704065829,3.0
Tweedie_1.1,-inf,-368.9224957261089,inf,0.9978661222289557,0.0008114041054446668,0.0069222147406089,0.0019702671825281436,0.9987770908876473,0.008714439091832758,0.0029494884454303906,0.9954005957804426,6.0
Tweedie_1.2,-inf,-368.88037393213784,inf,0.9972952143098054,0.0013588119857116867,0.007000709414428801,0.002018620724153157,0.9987491992064935,0.00907986396977783,0.0031074878182827713,0.994905957235205,9.0
Tweedie_1.3,-inf,-368.8057157471641,inf,0.996572793227613,0.002286185951348755,0.0071012695926715745,0.002091592657644614,0.99871300740979,0.009775089954128308,0.003365309214436224,0.9941877352992595,12.0
Tweedie_1.4,-inf,-368.6733614082669,inf,0.9957133365117672,0.0038273435799651085,0.007222263974639228,0.002201708576681403,0.9986687771570356,0.01100612954896632,0.003748260331044918,0.9930983123292,15.0
Tweedie_1.5,-163.69745838159415,-368.4385975502185,89.84872919079707,0.9947685741824944,0.006346618149315101,0.007412886200008824,0.0023746152462875043,0.9985975780144102,0.012977717788298542,0.004315357588501835,0.9913375917999406,18.0
Tweedie_1.6,-154.75120284380677,-368.0063348742519,85.37560142190338,0.9937586710290998,0.010466687396597665,0.007933085683830103,0.002640002276943073,0.9983938417398618,0.01586936708435766,0.005123391570174997,0.988288121903941,21.0
Tweedie_1.7,-131.24186328274334,-366.9517298053069,73.62093164137167,0.9919083799136911,0.01771718873739698,0.009809208288333067,0.0031567719495465187,0.9975443189533365,0.019597871999611913,0.006116505497352931,0.982791857712415,24.0
Tweedie_1.8,-7.4508517542171475,-360.6609711287382,11.725425877108574,0.9815770844873707,0.035988599711705725,0.019086388172074396,0.005488112284914017,0.990702813355911,0.022654355801049682,0.006693167133135053,0.9721993358536072,27.0
Tweedie_1.9,460.62810867577866,-259.24033906699356,-222.31405433788933,0.8979331756989467,0.16389422971909376,0.0816749180116409,0.018845308385808227,0.829752219093245,0.07093525469666126,0.020171125560171973,0.8589744604788884,30.0
Gaussian_Identity,-54.811506243565105,-366.58518638930394,35.40575312178255,0.3196550281599061,0.029258616802168007,0.1632723211821205,0.09193777777777772,0.3196550281599061,0.1748750861934997,0.10394705522162902,-3.1356686694641955,33.0
