Setup,Environment,SPL_dB,n,detection_rate,voltage_detection_rate,current_detection_rate,power_detection_rate
Standalone,Ind.,60,3,0.0,0.0,0.0,0.0
Standalone,Ind.,70,3,0.0,0.0,0.0,0.0
Standalone,Ind.,80,3,1.0,1.0,1.0,1.0
Standalone,Ind.,90,3,1.0,1.0,1.0,1.0
Standalone,Ind.,100,3,1.0,1.0,1.0,1.0
Standalone,Traf.,60,3,0.0,0.0,0.0,0.0
Standalone,Traf.,70,3,0.0,0.0,0.0,0.0
Standalone,Traf.,80,3,1.0,1.0,1.0,1.0
Standalone,Traf.,90,3,1.0,1.0,1.0,1.0
Standalone,Traf.,100,3,1.0,1.0,1.0,1.0
Standalone,Comm.,60,3,0.0,0.0,0.0,0.0
Standalone,Comm.,70,3,0.0,0.0,0.0,0.0
Standalone,Comm.,80,3,1.0,1.0,1.0,1.0
Standalone,Comm.,90,3,1.0,1.0,1.0,1.0
Standalone,Comm.,100,3,1.0,1.0,1.0,1.0
Integrated,Ind.,60,3,0.0,0.0,0.0,0.0
Integrated,Ind.,70,3,0.0,0.0,0.0,0.0
Integrated,Ind.,80,3,0.0,0.0,0.0,0.0
Integrated,Ind.,90,3,0.0,0.0,0.0,0.0
Integrated,Ind.,100,3,0.0,0.0,0.0,0.0
Integrated,Traf.,60,3,0.0,0.0,0.0,0.0
Integrated,Traf.,70,3,0.0,0.0,0.0,0.0
Integrated,Traf.,80,3,0.0,0.0,0.0,0.0
Integrated,Traf.,90,3,0.0,0.0,0.0,0.0
Integrated,Traf.,100,3,0.0,0.0,0.0,0.0
Integrated,Comm.,60,3,0.0,0.0,0.0,0.0
Integrated,Comm.,70,3,0.0,0.0,0.0,0.0
Integrated,Comm.,80,3,0.0,0.0,0.0,0.0
Integrated,Comm.,90,3,0.0,0.0,0.0,0.0
Integrated,Comm.,100,3,0.0,0.0,0.0,0.0
