Macro-effect,η²,χ²,p,df,variable
Env.,1.2640033232411738e-25,7.584019939447042e-24,1.0,2,DC_Voltage
SPL,0.98939785046836,5599.229745906006,0.0,4,DC_Voltage
Setup,8.974746921800014e-26,5.3848481530800085e-24,0.9999999999981485,1,DC_Voltage
Env. × SPL,0.8060022330512923,249.28191052768022,2.4459429013247247e-49,8,DC_Voltage
Env. × Setup,6.608575110412893e-26,3.965145066247736e-24,1.0,2,DC_Voltage
SPL × Setup,0.2089601717207512,15.849531028694438,0.0032278614205624202,4,DC_Voltage
Env. × SPL × Setup,0.001107407571620545,0.06651811696360814,0.9999999503545333,8,DC_Voltage
Env.,4.8961211918447015e-25,2.937672715106821e-23,1.0,2,DC_Current
SPL,0.990033019610115,5959.877400470352,0.0,4,DC_Current
Setup,5.12699355657298e-26,3.0761961339437882e-24,0.9999999999986006,1,DC_Current
Env. × SPL,0.8066892877456557,250.38114391227504,1.430332912789441e-49,8,DC_Current
Env. × Setup,2.4007148114092695e-25,1.4404288868455618e-23,1.0,2,DC_Current
SPL × Setup,0.6927022743568224,135.2503874684374,2.9324803258646997e-28,4,DC_Current
Env. × SPL × Setup,0.012052466169094282,0.7319700139758929,0.9994411725657983,8,DC_Current
Env.,9.443632858917632e-25,5.666179715350579e-23,1.0,2,DC_Power
SPL,0.9923000312857462,7732.239452730559,0.0,4,DC_Power
Setup,1.6660392468680152e-25,9.996235481208091e-24,0.9999999999974774,1,DC_Power
Env. × SPL,0.6238247428094603,99.50012355440195,5.401238772619965e-18,8,DC_Power
Env. × Setup,5.262604328977231e-25,3.157562597386339e-23,1.0,2,DC_Power
SPL × Setup,0.8001644751311074,240.24691575416642,8.208680599868066e-51,4,DC_Power
Env. × SPL × Setup,0.08484742941288086,5.562838294282233,0.6960685370886459,8,DC_Power
